nome_fii;liq diaria;ultimo rend;yield;patrim liquido;valor patrim;rent mes;p/vp
KNHY11;25.587;R$ 1,55;1,50%;R$ 1,8 bi;R$ 98,10;1,30%;1,07
KNIP11;122.675;R$ 1,70;1,66%;R$ 6,9 bi;R$ 97,66;2,15%;1,06
KNRE11;591;R$ 0,04;0,00%;R$ 23,1 mi;R$ 1,24;0,00%;0,72
KNRI11;29.311;R$ 0,84;0,61%;R$ 3,8 bi;R$ 157,16;0,54%;0,84
KNSC11;42.851;R$ 1,14;1,20%;R$ 1,2 bi;R$ 89,97;-1,09%;1,04
LASC11;210;R$ 0,61;0,71%;R$ 283,6 mi;R$ 112,62;0,14%;0,80
LFTT11;201;R$ 2,41;N/A;R$ 431,6 mi;R$ 59,74;N/A;1,88
LGCP11;844;R$ 0,60;0,76%;R$ 279 mi;R$ 102,08;1,51%;0,76
LUGG11;342;R$ 0,58;0,72%;R$ 112,5 mi;R$ 125,02;1,40%;0,65
LVBI11;12.034;R$ 0,74;0,74%;R$ 1,4 bi;R$ 114,69;-0,25%;0,88
MALL11;13.096;R$ 0,72;0,71%;R$ 819,2 mi;R$ 108,35;2,44%;0,93
MATV11;270;R$ 0,28;1,14%;R$ 33,3 mi;R$ 95,77;0,00%;0,98
MAXR11;2.188;R$ 0,80;1,01%;R$ 135,4 mi;R$ 120,30;-3,12%;0,68
MBRF11;30;R$ 10,00;1,42%;R$ 113,7 mi;R$ 1.118,56;-1,05%;0,63
MCCI11;28.483;R$ 1,00;1,00%;R$ 1,2 bi;R$ 97,52;0,53%;1,00
MCFF11;N/A;N/A;N/A;N/A;N/A;N/A;N/A
MCHF11;199.250;R$ 0,10;1,11%;R$ 315,9 mi;R$ 9,78;-0,59%;0,98
MCHY11;172.404;R$ 1,40;1,35%;R$ 375,7 mi;R$ 104,67;-0,45%;1,05
MFAI11;189;R$ 0,44;0,53%;R$ 23,4 mi;R$ 77,15;11,96%;0,94
MFII11;4.676;R$ 1,11;1,07%;R$ 434,3 mi;R$ 104,73;0,99%;0,95
MFVI11;N/A;N/A;N/A;R$ 132,2 mi;R$ 1,69;N/A;N/A
MGCR11;857;R$ 1,15;1,31%;R$ 135,2 mi;R$ 95,06;3,96%;0,91
MGFF11;10.433;R$ 0,65;1,04%;R$ 688,9 mi;R$ 76,12;-0,08%;0,81
MGHT11;594;R$ 0,80;1,01%;R$ 129,8 mi;R$ 98,78;-3,35%;0,70
MGLG11;1.229;R$ 0,60;1,17%;R$ 55,6 mi;R$ 48,16;0,45%;1,00
MINT11;110;N/A;N/A;R$ 61,8 mi;R$ 118,85;N/A;0,93
MOFF11;N/A;N/A;N/A;R$ 173,4 mi;R$ 860,30;N/A;N/A
MORC11;2.014;R$ 1,00;1,47%;R$ 78,4 mi;R$ 100,56;1,03%;0,99
MORE11;11.380;R$ 0,70;1,03%;R$ 203 mi;R$ 87,51;-4,41%;0,78
MTOF11;;;;;;;
MXRF11;453.510;R$ 0,11;1,11%;R$ 2,3 bi;R$ 10,19;10,07%;0,97
NAVT11;415;R$ 0,85;1,16%;R$ 95 mi;R$ 90,11;-1,49%;0,83
NCHB11;3.706;R$ 1,47;0,00%;R$ 138,4 mi;R$ 95,28;0,00%;1,02
NEWL11;236;R$ 0,80;0,80%;R$ 236,7 mi;R$ 116,45;-1,07%;0,81
NEWU11;96;R$ 0,00;0,00%;R$ 48,1 mi;R$ 64,89;-4,04%;0,59
NSLU11;1.884;R$ 1,54;0,76%;R$ 238 mi;R$ 207,92;0,76%;0,69
NVHO11;167;R$ 0,08;0,67%;R$ 527,3 mi;R$ 12,71;2,35%;0,90
NVIF11B;N/A;R$ 0,44;0,00%;R$ 85,6 mi;R$ 253,60;0,00%;N/A
ONEF11;74;R$ 0,92;0,59%;R$ 159,2 mi;R$ 174,77;1,97%;0,90
ORPD11;1;R$ 1,38;N/A;R$ 43,8 mi;R$ 151,06;N/A;0,66
OUFF11;3.079;R$ 0,72;1,11%;R$ 144,5 mi;R$ 79,63;-2,95%;0,83
OUJP11;4.519;R$ 1,30;1,36%;R$ 331 mi;R$ 101,78;6,55%;0,94
OULG11;2.035;R$ 0,17;0,38%;R$ 182,3 mi;R$ 73,46;3,48%;0,60
OURE11;1.254;R$ 0,95;1,19%;R$ 99,8 mi;R$ 92,61;-2,00%;0,83
PABY11;217;R$ 0,00;0,00%;R$ -9,5 mi;R$ -12,59;-19,84%;-0,60
PATC11;2.383;R$ 0,32;0,47%;R$ 302,8 mi;R$ 87,07;-0,99%;0,78
PATL11;10.687;R$ 0,58;0,75%;R$ 489,3 mi;R$ 98,03;2,68%;0,78
PLCR11;6.928;R$ 1,10;1,26%;R$ 195,2 mi;R$ 92,56;1,76%;0,95
PLOG11;1.753;R$ 0,75;1,01%;R$ 75,2 mi;R$ 100,21;5,20%;0,71
PLRI11;392;R$ 0,22;0,52%;R$ 37,2 mi;R$ 39,00;-4,35%;0,96
PORD11;11.835;R$ 1,52;1,49%;R$ 369,9 mi;R$ 99,20;2,02%;0,97
PQAG11;22;R$ 0,40;0,67%;R$ 797 mi;R$ 56,96;6,90%;1,00
PQDP11;66;R$ 15,01;0,74%;R$ 800,5 mi;R$ 3.356,58;1,48%;0,59
PRSV11;22;R$ 1,62;0,42%;R$ 47 mi;R$ 241,28;5,74%;0,46
PRTS11;N/A;R$ 0,05;N/A;R$ 3,1 mi;R$ 0,06;N/A;N/A
PVBI11;18.207;R$ 0,56;0,59%;R$ 995,3 mi;R$ 99,14;4,38%;0,96
QAGR11;8.840;R$ 0,39;0,82%;R$ 300,8 mi;R$ 59,69;-1,78%;0,79
QAMI11;1.568;R$ 1,24;1,29%;R$ 73,1 mi;R$ 91,16;2,65%;1,03
QIFF11;27;R$ 0,55;0,55%;R$ 14,3 mi;R$ 95,11;-1,86%;1,02
QIRI11;3;R$ 0,69;0,83%;R$ 13,3 mi;R$ 88,47;6,65%;0,80
QMFF11;1.011;R$ 0,75;0,00%;R$ 14,3 mi;R$ 95,11;0,00%;1,04
RBBV11;6.417;R$ 4,98;0,00%;R$ 126,5 mi;R$ 100,84;0,00%;0,99
RBCB11;161;R$ 0,00;0,00%;R$ 0;R$ 0,00;-71,35%;Inf
RBCO11;2.072;R$ 0,35;0,83%;R$ 321,5 mi;R$ 85,08;-12,72%;0,43
RBDS11;225;R$ 2,35;0,00%;R$ 3,2 mi;R$ 24,95;0,00%;0,13
RBED11;1.695;R$ 1,14;0,93%;R$ 286,5 mi;R$ 141,73;0,42%;0,85
RBFF11;9.213;R$ 0,50;0,91%;R$ 245,6 mi;R$ 65,50;4,73%;0,77
RBGS11;5.157;R$ 0,18;0,62%;R$ 97,9 mi;R$ 90,78;-1,29%;0,31
RBHG11;1.642;R$ 1,30;1,26%;R$ 166,7 mi;R$ 96,47;5,36%;0,94
RBHY11;294;R$ 1,45;1,29%;R$ 154,9 mi;R$ 97,91;1,64%;1,01
RBIR11;23;R$ 0,00;0,00%;R$ 147,1 mi;R$ 96,22;0,00%;0,71
RBIV11;885;R$ 0,75;0,88%;R$ 166,5 mi;R$ 96,35;-1,31%;0,87
RBLG11;2;R$ 0,80;0,92%;R$ 66,9 mi;R$ 104,50;-1,58%;0,83
RBRD11;2.501;R$ 0,30;0,66%;R$ 131,2 mi;R$ 70,83;-6,72%;0,64
RBRF11;18.649;R$ 0,60;0,84%;R$ 1,1 bi;R$ 84,02;-3,53%;0,84
RBRI11;5;R$ 35,62;N/A;R$ 142 mi;R$ 1.268,47;N/A;0,83
RBRL11;1.992;R$ 0,65;0,74%;R$ 712,5 mi;R$ 106,54;2,73%;0,81
RBRP11;16.592;R$ 0,45;0,72%;R$ 1 bi;R$ 82,44;-2,38%;0,75
RBRR11;26.149;R$ 1,20;1,16%;R$ 1 bi;R$ 98,73;1,90%;1,03
RBRS11;38;R$ 0,44;0,70%;R$ 138,5 mi;R$ 92,07;5,46%;0,66
RBRY11;3.939;R$ 1,25;1,19%;R$ 351,1 mi;R$ 103,35;0,11%;1,01
RBTS11;1;R$ 23,36;N/A;R$ 66,4 mi;R$ 1.174,56;N/A;0,85
RBVA11;19.221;R$ 0,92;0,93%;R$ 1,2 bi;R$ 102,98;1,55%;0,91
RBVO11;154;R$ 0,01;0,32%;R$ 12,1 mi;R$ 23,41;0,00%;0,54
RCFA11;114;N/A;N/A;R$ 13 mi;R$ 22,25;N/A;0,21
RCFF11;9;R$ 0,83;N/A;R$ 30,5 mi;R$ 94,44;N/A;1,04
RCRB11;3.854;R$ 0,60;0,48%;R$ 719,4 mi;R$ 194,91;-6,13%;0,64
RDES11;10.296;R$ 0,04;0,06%;R$ 65,9 mi;R$ 88,83;0,06%;0,65
RDPD11;683;R$ 0,56;1,48%;R$ 64,5 mi;R$ 59,86;4,98%;0,92
RECH11;N/A;N/A;N/A;N/A;N/A;N/A;N/A
RECR11;45.705;R$ 1,50;1,50%;R$ 2,3 bi;R$ 95,30;-0,37%;1,06
RECT11;12.467;R$ 0,50;0,80%;R$ 791,9 mi;R$ 96,82;-4,69%;0,60
RECX11;184;R$ 0,70;0,88%;R$ 18,9 mi;R$ 86,62;-13,35%;0,91
RELG11;2.886;R$ 0,90;1,21%;R$ 161,6 mi;R$ 121,05;0,87%;0,61
RFOF11;2.122;R$ 0,67;0,94%;R$ 91,3 mi;R$ 84,68;-0,18%;0,83
RMAI11;491;R$ 0,26;0,77%;R$ 264,2 mi;R$ 108,10;-4,95%;0,31
RNDP11;8;R$ 3,74;1,12%;R$ 51 mi;R$ 474,44;-4,65%;0,80
RNGO11;2.041;R$ 0,39;0,78%;R$ 234,5 mi;R$ 87,62;5,43%;0,56
